loc,smellsCount,assertionRoulette,conditionalTestLogic,constructorInitialization,defaultTest,duplicateAssert,eagerTest,emptyTest,generalFixture,lazyTest,magicNumberTest,mysteryGuest,printStatement,redundantAssertion,resourceOptimism,sensitiveEquality,sleepyTest,unknownTest,verboseTest,klass
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,5,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
15,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
27,5,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
39,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
21,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
6,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
18,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
8,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
